Autor, Herausgeber oder Institution;Titel;pos. findings ec hypothesis;neg. findings ec hypothesis;effect: polarization;effect: misinformation;effect:trust loss;effect: extremism;effect: no effect;antecedent: recommender system;antecedent and property: user behaviour;antecedent: offline fragmentation ;antecedent: institutions and other media sources;effect: populism;property: overstated;property: event-specific;causal;property: active users and efficacy;effect: toxicity;antecedent and property: group behaviour;property: mitigation
"Kitchens, Brent; Johnson, Steven L.; Gray, Peter";UNDERSTANDING ECHO CHAMBERS AND FILTER BUBBLES: THE IMPACT OF SOCIAL MEDIA ON DIVERSIFICATION AND PARTISAN SHIFTS IN NEWS CONSUMPTION;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"Flaxman, Seth; Goel, Sharad; Rao, Justin M.";Filter Bubbles, Echo Chambers, and Online News Consumption;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0
"Zollo, Fabiana; Novak, Petra Kralj; Del Vicario, Michela; Bessi, Alessandro; Mozetic, Igor; Scala, Antonio; Caldarelli, Guido; Quattrociocchi, Walter";Emotional Dynamics in the Age of Misinformation;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Min, Yong; Jiang, Tingjun; Jin, Cheng; Li, Qu; Jin, Xiaogang";Endogenetic structure of filter bubble in social networks;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0
"Whittaker, Joe; Looney, Sean; Reed, Alastair; Votta, Fabio";Recommender systems and the amplification of extremist content;1;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0
"Wolfowicz, Michael; Weisburd, David; Hasisi, Badi";Examining the interactive effects of the filter bubble and the echo chamber on radicalization;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"Zollo, Fabiana; Bessi, Alessandro; Del Vicario, Michela; Scala, Antonio; Caldarelli, Guido; Shekhtman, Louis; Havlin, Shlomo; Quattrociocchi, Walter";Debunking in a world of tribes;1;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0
"Roth, Camille; Mazieres, Antoine; Menezes, Telmo";Tubes and bubbles topological confinement of YouTube recommendations;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"Schmidt, Ana Lucia; Zollo, Fabiana; Scala, Antonio; Betsch, Cornelia; Quattrociocchi, Walter";Polarization of the vaccination debate on Facebook;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Cota, Wesley; Ferreira, Silvio C.; Pastor-Satorras, Romualdo; Starnini, Michele";Quantifying echo chamber effects in information spreading over political communication networks;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Turetsky, Kate M.; Riddle, Travis A.";Porous Chambers, Echoes of Valence and Stereotypes: A Network Analysis of Online News Coverage Interconnectedness Following a Nationally Polarizing Race-Related Event;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
"Bodrunova, S. S.; Blekanov, I. S.; Tarasov, N.";Cumulative Polarization: Patterns of Accumulation of Neutral and Politicized Echo Chambers on Russian Twitter;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0
"De-Lima-Santos, M.-F.; Ceron, W.";Disinformation Echo-chambers on Facebook;1;0;1;0;0;0;1;0;1;0;1;1;0;0;0;1;1;0;0
Enjolras, Bernard;Does Relational Polarization Entail Ideological Polarization? The Case of the 2017 Norwegian Election Campaign on Twitter;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Erickson, Jacob; Yan, Bei; Huang, Jingyun";Bridging Echo Chambers? Understanding Political Partisanship through Semantic Network Analysis;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0
"Gao, Yichang; Liu, Fengming; Gao, Lei";Echo chamber effects on short video platforms;1;1;1;1;0;0;1;1;0;1;1;0;0;0;0;1;0;1;0
"Grusauskaite, Kamile; Carbone, Luca; Harambam, Jaron; Aupers, Stef";Debating (in) echo chambers: How culture shapes communication in conspiracy theory networks on YouTube;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
"Hada, R.; Ebrahimi Fard, A.; Shugars, S.; Bianchi, F.; Rossini, P.; Hovy, D.; Tromble, R.; Tintarev, N.";"Beyond Digital ""Echo Chambers"": The Role of Viewpoint Diversity in Political Discussion";1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0
"Hong, Sounman; Kim, Sun Hyoung";Political polarization on twitter: Implications for the use of social media in digital governments;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0
